Seed,Time,Episode,Reward
3,6596.624865055084,25000,-21.086337854634266
8,6609.23375082016,25000,-32.51657750904629
4,6614.8520386219025,25000,-21.130346762032353
2,6616.853374004364,25000,-33.14660953043166
7,6621.629828214645,25000,-21.072089601238428
1,6623.22870349884,25000,-32.198931226528686
5,6656.278631687164,25000,-21.15317926039456
0,6845.252558708191,26000,-21.346667993452588
6,6851.191481590271,26000,-33.15083617302457
9,6876.830206155777,26000,-33.662436355876586
3,6878.574532032013,26000,-21.135522885789133
8,6893.140406847,26000,-32.727501565901676
7,6898.811915636063,26000,-21.074966293438386
4,6902.424559831619,26000,-21.11708885158384
2,6908.0308175086975,26000,-33.139557063474086
1,6914.3872282505035,26000,-32.4811776448158
5,6931.358546495438,26000,-21.128021554582958
6,7112.740576982498,27000,-33.14432954836305
0,7128.970544338226,27000,-20.475513640650032
8,7159.554840087891,27000,-31.783630330577243
9,7166.443242549896,27000,-33.66362173155376
3,7172.835368871689,27000,-21.094699515134362
4,7174.099819660187,27000,-21.139764860087418
2,7180.242204666138,27000,-33.13438949199767
7,7187.967398643494,27000,-21.028772884677505
1,7194.152717113495,27000,-32.420438718816555
5,7213.583240032196,27000,-21.148337473843153
6,7368.811487913132,28000,-33.09288318529114
0,7405.533119916916,28000,-20.75720381704181
3,7431.873515367508,28000,-21.079522999947354
8,7436.552282094955,28000,-31.98695217398082
9,7438.09760093689,28000,-33.67111626230579
4,7448.921428203583,28000,-21.09770288289756
7,7454.018506526947,28000,-21.02677188233594
2,7458.703396320343,28000,-33.11600859079711
1,7465.226573467255,28000,-32.43601941864122
5,7481.039503097534,28000,-21.162607085107492
6,7639.205691099167,29000,-32.98615288203522
0,7686.8606634140015,29000,-20.700967575692026
3,7697.096815824509,29000,-21.05267178421673
9,7706.730014562607,29000,-33.64495960880746
8,7710.672797679901,29000,-32.164048255919056
4,7716.318097114563,29000,-21.111480356481938
7,7728.602904081345,29000,-21.066403666158
1,7730.524480819702,29000,-32.51667206149169
2,7731.327308893204,29000,-33.126000379034174
5,7764.364049196243,29000,-21.159161340761507
6,7924.174290418625,30000,-32.51050784926168
0,7966.70963716507,30000,-20.450239246661358
3,7983.039297103882,30000,-21.105304055151525
8,7985.133185863495,30000,-31.751008073373228
9,7992.878780841827,30000,-33.716306821298275
7,7994.352689266205,30000,-21.042148180165004
4,7995.446956157684,30000,-21.010472713319597
2,8013.980633020401,30000,-33.05581483041366
1,8018.4476017951965,30000,-32.35739353222215
5,8048.375999689102,30000,-21.131606471884062
6,8190.277312040329,31000,-32.751538038281204
0,8248.757023334503,31000,-29.08875195325585
9,8258.542042970657,31000,-33.69210105424499
8,8265.815705060959,31000,-31.613086382852522
3,8270.654738903046,31000,-21.086268813771945
4,8273.117603063583,31000,-21.091849747004073
7,8277.033660411835,31000,-21.048683099983972
1,8284.835824012756,31000,-32.38128837995088
2,8294.7822098732,31000,-33.1442287841581
5,8324.033995866776,31000,-21.157368780324713
6,8462.497398376465,32000,-31.57381341231522
4,8517.083342790604,32000,-21.050818270815533
0,8534.750357866287,32000,-28.615224172951663
9,8538.630373954773,32000,-33.6922913252722
7,8545.605602264404,32000,-21.036142213683874
1,8553.07861661911,32000,-32.51866869266828
8,8563.752005815506,32000,-32.27490076482391
2,8572.76898431778,32000,-33.13967961552326
3,8573.69253206253,32000,-21.16413878243965
5,8603.99283361435,32000,-21.119276035681963
6,8751.31701207161,33000,-29.74196631953012
4,8802.736530780792,33000,-21.18623306815055
9,8811.983671665192,33000,-33.6768890823453
0,8815.452511310577,33000,-28.202678475929247
7,8835.62717294693,33000,-21.05384218225124
1,8842.202793836594,33000,-32.44943296201191
8,8849.13620519638,33000,-32.786915267339666
2,8851.295416355133,33000,-33.120320599821945
3,8856.00303697586,33000,-21.232996044140005
5,8881.285123348236,33000,-21.08635960197809
6,9037.013874053955,34000,-22.135645955746583
4,9090.311601877213,34000,-21.124849366964977
9,9091.15054988861,34000,-33.68952908159585
0,9093.346287727356,34000,-27.665009990145
7,9121.696543931961,34000,-21.059705513746156
2,9130.710141181946,34000,-33.13890513249262
3,9138.202772140503,34000,-21.061202283722274
1,9139.042579650879,34000,-32.47948202108601
8,9143.717660665512,34000,-32.26334620457208
5,9151.927284479141,34000,-21.097235079615324
6,9310.066749095917,35000,-21.445518420465614
0,9364.008738279343,35000,-28.35732544481222
4,9370.89740395546,35000,-21.09427614072396
9,9377.997092485428,35000,-33.63875729365201
7,9399.748622894287,35000,-21.07229967891414
8,9420.548204183578,35000,-32.464285115772235
1,9421.59219622612,35000,-32.52780220474225
5,9422.6221408844,35000,-21.127517452628698
3,9422.804832696915,35000,-21.09516570604298
2,9423.097877264023,35000,-33.126189484059125
6,9591.668763875961,36000,-23.309752634922123
0,9640.868047714233,36000,-28.639555364940193
4,9650.565438508987,36000,-21.021674317809197
9,9661.31564283371,36000,-33.66504087610168
7,9686.267410993576,36000,-21.072750098692918
1,9696.063116312027,36000,-32.6440761483297
8,9697.912183761597,36000,-31.510895119237308
2,9702.883347988129,36000,-33.115000767304835
5,9710.183164596558,36000,-21.184780099865588
3,9711.672932386398,36000,-21.08678257858756
6,9863.186638593674,37000,-20.562890534186575
0,9923.333062171936,37000,-28.441189633273922
4,9929.572373628616,37000,-21.103703082664996
9,9946.303493499756,37000,-33.65304286484347
7,9952.906454086304,37000,-21.10091814858012
2,9968.86233997345,37000,-33.161757090815584
8,9971.890612363815,37000,-31.620266360632606
1,9979.175567150116,37000,-32.52499896972738
5,9986.283840179443,37000,-21.10741711155564
3,9995.166716814041,37000,-21.119607826866595
6,10130.76897597313,38000,-18.844007269200098
0,10201.192722797394,38000,-29.54379031351857
4,10202.250813007355,38000,-21.037638545591918
9,10216.492599725723,38000,-33.62370845985137
7,10229.697102308273,38000,-21.01322841632696
2,10237.768664121628,38000,-33.082691746288184
8,10244.010549783707,38000,-31.689871887273963
1,10251.395492315292,38000,-32.63150639091894
5,10251.414156198502,38000,-21.038851264938366
3,10264.412942647934,38000,-21.042831726623056
6,10402.201004505157,39000,-12.470703943071928
0,10480.617497682571,39000,-29.317499657111995
4,10483.622772216797,39000,-21.15401479790429
9,10487.77646613121,39000,-33.61116200917369
7,10497.603496789932,39000,-21.11324223782304
2,10500.529858350754,39000,-33.18424534475913
5,10521.525915384293,39000,-21.152431411068292
8,10529.210124254227,39000,-31.89615907378711
1,10531.101861000061,39000,-32.569600099361544
3,10550.963725805283,39000,-21.090906955457168
6,10680.543995857239,40000,26.01959337941594
0,10763.588774442673,40000,-29.705137620669785
9,10771.00178694725,40000,-33.61884832574329
4,10771.897854566574,40000,-21.074011683222853
7,10780.763379573822,40000,-21.07378238333834
2,10788.342609405518,40000,-33.18703803080892
5,10803.672450065613,40000,-21.16283454090741
1,10808.050396203995,40000,-32.65422374999218
8,10812.755245447159,40000,-31.10680332762388
3,10832.693340063095,40000,-21.056006616210144
6,10887.74010682106,41000,667.2917527973943
4,11041.867436170578,41000,-21.210634659694083
0,11046.216322898865,41000,-29.561208496014473
6,11047.821863651276,42000,456.77176342177313
9,11060.264400482178,41000,-22.811762672838018
7,11067.4908721447,41000,-21.039021182502175
2,11073.925678730011,41000,-33.16366246259412
1,11076.550278425217,41000,-32.65907353704345
8,11085.735750675201,41000,-31.186177265844332
5,11097.64666557312,41000,-21.108463183144305
3,11116.431360721588,41000,-21.1393876547623
6,11255.90272474289,43000,406.44381538012874
4,11313.029054880142,42000,-22.043153282858224
9,11315.97449684143,42000,-22.025910579341335
0,11322.63372039795,42000,-28.860602290487318
7,11338.08171916008,42000,-21.14345915074508
2,11348.488103866577,42000,-33.13961208958786
1,11360.154869556427,42000,-32.54881238021548
8,11373.499487638474,42000,-30.619911119002964
3,11375.706633329391,42000,-21.11482729302519
5,11379.797098636627,42000,-21.143775389190772
6,11480.25246167183,44000,110.14557806358133
4,11589.276677131653,43000,-21.478339749192195
9,11610.392003536224,43000,-21.616306797129866
7,11619.049098968506,43000,-21.09941003829769
0,11620.587001800537,43000,-28.838543179342018
2,11632.037305355072,43000,-33.12943921055508
8,11648.207146167755,43000,-30.46793629403825
1,11649.137567996979,43000,-32.48567925594971
3,11666.873813867569,43000,-21.12856399598796
5,11672.194823980331,43000,-21.135960627691194
6,11741.877434253693,45000,220.08518825482935
4,11865.845048189163,44000,-21.086563391731246
9,11885.993742227554,44000,-21.49012866995372
2,11889.369300365448,44000,-33.17577599155602
7,11898.70572757721,44000,-21.166705428096563
0,11902.453324079514,44000,-28.737894605305524
1,11925.785437107086,44000,-32.31752354479433
8,11930.67886185646,44000,-31.01861971428883
6,11948.491415023804,46000,488.200605320413
3,11949.832090139389,44000,-21.052779285163247
5,11960.668157100677,44000,-21.097697436663154
4,12140.77258014679,45000,-21.068375757639075
2,12156.847515583038,45000,-33.1543181191872
9,12162.864804983139,45000,-21.88404051280872
0,12172.049445390701,45000,-28.27207215992764
7,12176.016902446747,45000,-21.014474471302968
1,12192.778569459915,45000,-32.28480598610457
6,12196.938869476318,47000,214.45439265079148
8,12205.730032205582,45000,-31.013337817011653
5,12233.23964047432,45000,-21.048323206184435
3,12242.760815143585,45000,-21.14448465172867
4,12422.49413228035,46000,-21.0513255186423
6,12425.093161821365,48000,465.9561007717454
2,12432.773284435272,46000,-33.093401633456104
0,12444.838478565216,46000,-27.52234786019301
9,12446.382206916809,46000,-21.58093351190937
7,12457.963558912277,46000,-21.067198581355413
1,12472.773359775543,46000,-32.07328202793022
8,12486.55332326889,46000,-31.091684498504314
5,12512.763006925583,46000,-21.04193956569151
3,12518.467220306396,46000,-21.04815869747717
6,12661.043004989624,49000,283.9374089450085
2,12702.444545269012,47000,-33.11652121543144
4,12706.326395273209,47000,-21.112272616201768
9,12713.250048398972,47000,-21.274362557341522
0,12714.033509969711,47000,-26.758314164262643
7,12735.167029380798,47000,-21.03945094870239
1,12742.543215036392,47000,-31.86685406311035
8,12767.581906795502,47000,-30.622488612880602
3,12791.725801467896,47000,-21.04892033489115
5,12793.17180299759,47000,-21.087189111720985
6,12892.581911802292,50000,284.540232217
2,12978.017641305923,48000,-33.14288406528984
4,12981.330852746964,48000,-21.0533066511675
0,12986.097571372986,48000,-18.7022856036463
9,12988.434745550156,48000,-21.43870079980993
7,13007.688150644302,48000,-21.049281695309602
1,13010.803529262543,48000,-31.884782056697787
8,13040.378327131271,48000,-30.139374699595155
5,13055.920436382294,48000,-21.093342451602652
3,13056.610285520554,48000,-21.125764694842278
6,13101.431880950928,51000,202.29203789012155
9,13253.215257167816,49000,-21.353918658830644
4,13256.61916565895,49000,-21.069168079474917
2,13259.782355308533,49000,-33.12792687281388
0,13268.135929822922,49000,-18.678959876910287
1,13289.846676111221,49000,-32.078922887639735
7,13293.015851259232,49000,-21.03321465343158
3,13319.242690563202,49000,-21.065523562127154
8,13323.74346446991,49000,-30.22429313181686
5,13331.75309419632,49000,-21.119737090303293
6,13351.093695163727,52000,607.4775135248307
6,13526.027150630951,53000,813.8331538468925
9,13527.521119117737,50000,-21.18741053633029
4,13531.809079408646,50000,-21.086353857439793
2,13539.001821517944,50000,-33.178917463907744
0,13558.15001821518,50000,-19.00923285184342
1,13562.888867378235,50000,-32.137288255120396
7,13568.123247623444,50000,-21.0576138471907
3,13605.600333929062,50000,-21.06888888304175
8,13615.81957936287,50000,-29.925669042939735
5,13625.611887454987,50000,-21.058019075851597
6,13689.01081442833,54000,810.8293468390708
4,13804.232854127884,51000,-21.105057220482177
9,13807.618442296982,51000,-21.298343749287877
2,13823.544161558151,51000,-33.146113478974414
1,13831.822384595871,51000,-31.856286186379407
0,13839.720161914825,51000,-19.008719996269004
7,13843.502320051193,51000,-21.093950392793886
3,13874.700815916061,51000,-21.099617768711887
6,13880.904394626617,55000,459.92108264917783
8,13892.743395090103,51000,-30.014247326378158
5,13908.216456651688,51000,-21.153806435840536
9,14073.786182641983,52000,-21.273122663824232
4,14087.505470514297,52000,-21.205624136316132
2,14096.027487516403,52000,-33.06959824399457
1,14105.255511283875,52000,-31.79408881880243
7,14115.99756193161,52000,-21.081675716271164
0,14116.31217122078,52000,-19.438672749416934
6,14124.396477222443,56000,138.3782506081226
3,14161.56953239441,52000,-20.92012488789711
8,14161.691262483597,52000,-29.64243831997486
5,14179.398216247559,52000,-21.118537575118804
6,14331.63898897171,57000,816.2203443760621
9,14362.268765449524,53000,-21.21367962181578
4,14365.991704940796,53000,-21.130645853944262
2,14367.636749505997,53000,-33.10685821283806
1,14392.158215284348,53000,-31.887410869977888
0,14394.981920480728,53000,-18.68837441491159
7,14397.17707324028,53000,-21.08704271276538
8,14440.576511621475,53000,-30.050712198431928
3,14442.16972231865,53000,-21.10674248285625
5,14461.55675125122,53000,-21.115176882993214
6,14525.939189910889,58000,760.1497596899643
9,14629.729407072067,54000,-21.277610527497394
2,14633.75283074379,54000,-33.092380172278425
4,14646.63156747818,54000,-21.017001720860918
7,14666.061108589172,54000,-20.971965231747475
1,14677.983559131622,54000,-32.140595502017725
0,14678.673988342285,54000,-18.631506895412205
6,14693.79649591446,59000,485.7842879607129
8,14719.812999725342,54000,-30.3229219854803
3,14730.559059619904,54000,-21.04678109076508
5,14738.101173877716,54000,-21.09165165444228
6,14899.957333087921,60000,266.3801878045066
2,14909.386672258377,55000,-33.12457005279391
9,14913.557232618332,55000,-21.186759158511745
4,14927.723833799362,55000,-20.99682428766565
7,14937.73217368126,55000,-21.006608673473785
0,14950.34191083908,55000,-18.336287486654225
1,14950.519703626633,55000,-31.815501254557304
8,15007.485143661499,55000,-31.056087653807236
3,15009.211194992065,55000,-21.013552536745397
5,15014.61629986763,55000,-21.137972260978607
6,15142.037140607834,61000,239.64227817389542
9,15190.858570337296,56000,-21.182126763326053
2,15198.224557876587,56000,-33.130402772218766
4,15209.140582561493,56000,-21.029949390689694
7,15215.797452449799,56000,-21.043549156654844
0,15224.81569480896,56000,-18.064694764112094
1,15238.530094385147,56000,-31.77567590369844
8,15277.496953725815,56000,-30.911803208145038
3,15292.277899742126,56000,-21.043034942208248
5,15294.348974704742,56000,-21.101954633823702
6,15363.66728258133,62000,809.3820062793017
9,15462.738070964813,57000,-21.27058759186085
2,15467.775251865387,57000,-33.153632327996775
4,15479.446634531021,57000,-21.213766477124132
7,15485.728374481201,57000,-21.043545969313268
0,15512.312919855118,57000,-18.423644766025305
1,15518.876450061798,57000,-31.30363624872166
6,15521.928805112839,63000,810.6721295225716
3,15543.381676912308,57000,-21.05395045340343
8,15547.826025485992,57000,-30.911891525492322
5,15562.204045295715,57000,-21.285824244386077
6,15685.23174738884,64000,687.7462153384512
9,15732.778925418854,58000,-21.195509102671362
2,15733.468301773071,58000,-33.158710839965835
4,15737.02009177208,58000,-21.67049961844954
7,15750.517820835114,58000,-21.053923400987806
0,15784.927883386612,58000,-17.81619983726862
1,15787.149388074875,58000,-31.130529984615485
